,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1,FG_players,FGA_players,FG%_players,3P_players,3PA_players,3P%_players,FT_players,FTA_players,FT%_players,ORB_players,DRB_players,TRB_players,AST_players,STL_players,BLK_players,TOV_players,PF_players,PTS_players,+/-_players,TS%_players,eFG%_players,3PAr_players,FTr_players,ORB%_players,DRB%_players,TRB%_players,AST%_players,STL%_players,BLK%_players,TOV%_players,USG%_players,ORtg_players,DRtg_players,BPM_players
0,2021/3/13,ATL,SAC,W 121-106,0,0,-14,0.07300000000000001,-5,-11,0.027000000000000024,5,-3,0.17,10,17,-0.11599999999999988,15,0,14,-0.07300000000000001,5,11,-0.027000000000000024,-5,3,-0.17,-10,-17,0.11599999999999988,-15,-1.0402777777777796,-4.25284722222222,0.0923063194444444,0.45111111111111113,-1.341875,0.0851730555555555,0.3221527777777786,1.0073611111111114,0.041936736111110984,-1.6686805555555557,-0.21930555555555475,-1.8879861111111103,-1.1279861111111118,0.09388888888888891,0.07618055555555556,-0.8516666666666666,-1.6138194444444443,-1.3072916666666679,16.450694444444448,0.11329861111111128,0.11918131944444449,-0.028332013888888896,0.22146875000000002,-1.3455624999999953,-1.3018263888888857,-0.438604166666666,-2.520395833333337,0.20739583333333345,0.25038194444444434,-5.375500000000001,-0.004034722222225895,24.143611111111127,-17.373333333333335,3.8020555555555546
1,2021/3/13,BRK,DET,W 100-95,0,3,-8,0.07700000000000007,5,-3,0.12,-2,-5,-0.027999999999999997,1,2,-0.02300000000000002,5,-3,8,-0.07700000000000007,-5,3,-0.12,2,5,0.027999999999999997,-1,-2,0.02300000000000002,-5,0.658888888888888,-0.32520833333333776,0.12111118055555548,-0.36340277777777796,-0.4036805555555545,-0.015450902777777803,0.19777777777777739,0.11381944444444425,0.02296034722222212,-0.7297916666666667,0.42868055555555573,-0.301111111111112,0.15097222222222184,-0.024791666666666323,0.08208333333333329,0.28555555555555534,0.2532638888888883,1.152152777777781,5.272430555555556,0.12157777777777773,0.12531395833333342,0.01643319444444452,0.05882256944444439,-3.1518124999999997,-3.1572569444444447,-2.7475416666666668,-3.111180555555558,-0.421298611111111,-0.5361250000000006,-2.8246666666666673,-0.006569444444444628,15.753749999999997,-3.7511111111111006,1.2361805555555558
2,2021/3/13,CHO,TOR,W 114-104,0,2,-16,0.10299999999999998,-4,-19,0.14099999999999996,6,3,0.10299999999999998,0,1,-0.04399999999999993,10,-2,16,-0.10299999999999998,4,19,-0.14099999999999996,-6,-3,-0.10299999999999998,0,-1,0.04399999999999993,-10,-0.10722222222222166,-2.150000000000003,0.09805548611111109,0.6854166666666661,0.11749999999999972,0.02332430555555559,-0.35874999999999946,-0.4327083333333337,-0.0060549305555556154,-0.5275694444444443,0.7569444444444451,0.22937499999999833,0.32034722222222234,0.08062499999999995,-0.2093750000000001,0.659097222222222,0.2664583333333328,0.11222222222222733,16.79902777777778,0.1120029861111112,0.12689388888888892,0.0442361111111112,-0.010050277777777783,-0.8445138888888883,-0.8209236111111125,0.8323888888888913,2.4577291666666667,0.017625000000000002,-1.3447847222222227,11.910583333333332,0.004180555555553411,5.725833333333327,-8.543819444444452,2.238097222222222
3,2021/3/13,DAL,DEN,W 116-103,0,5,-4,0.07699999999999996,3,-9,0.17099999999999999,2,5,0.0010000000000000009,1,-2,0.15300000000000002,13,-5,4,-0.07699999999999996,-3,9,-0.17099999999999999,-2,-5,-0.0010000000000000009,-1,2,-0.15300000000000002,-13,0.43729166666666686,-0.7240277777777759,0.13676201388888887,0.5202083333333334,0.7018055555555556,0.08624048611111118,0.03736111111111118,-0.22124999999999928,0.04295374999999996,0.07402777777777803,0.8834027777777789,0.9574305555555567,-0.30097222222222175,0.021736111111111067,0.26687500000000003,-0.37166666666666637,0.1938194444444441,1.432152777777782,15.786597222222223,0.19178812499999992,0.1666927777777777,0.07004451388888899,0.017053750000000006,0.5009722222222237,0.48438888888888876,1.324847222222223,-3.0992986111111094,-0.02051388888888872,0.7272708333333332,-2.464722222222221,-0.025951388888891813,26.161597222222227,-15.609374999999986,3.348805555555556
4,2021/3/13,MIN,POR,L 121-125,0,1,-3,0.029000000000000026,4,11,-0.04499999999999993,-3,-14,0.06,-3,1,-0.125,-4,-1,3,-0.029000000000000026,-4,-11,0.04499999999999993,3,14,-0.06,3,-1,0.125,4,-0.12805555555555515,-0.8125694444444456,0.05471451388888904,-0.3673611111111117,-1.5745833333333348,0.0368255555555555,-0.798611111111112,-0.4825000000000008,-0.06162687500000008,1.231597222222222,0.5406944444444437,1.7722916666666677,-0.516111111111111,-0.10250000000000004,0.028819444444444398,0.966527777777778,0.7918749999999997,-1.4220833333333331,-4.503333333333334,-0.003151875000000026,0.01980076388888885,-0.1640333333333333,0.2105986111111111,5.073923611111111,5.075958333333331,4.88876388888889,-2.4189791666666682,-0.22119444444444403,1.1849583333333336,10.364041666666665,0.011270833333330899,-2.6418749999999847,4.036527777777749,-0.9332430555555555
5,2021/3/13,NYK,OKC,W 119-97,0,7,15,-0.003000000000000058,1,12,-0.123,6,3,0.15000000000000002,2,1,0.05899999999999994,22,-7,-15,0.003000000000000058,-1,-12,0.123,-6,-3,-0.15000000000000002,-2,-1,-0.05899999999999994,-22,1.856041666666667,3.601527777777779,-0.09163312499999998,1.1371527777777775,1.4887500000000005,0.08823624999999996,0.7667361111111117,0.8516666666666657,0.0936393055555555,0.5572222222222224,0.2795138888888893,0.8367361111111098,0.7413194444444442,1.1719444444444447,-0.2014583333333333,-0.8553472222222225,0.21847222222222173,5.615972222222219,27.380208333333332,0.03046513888888891,-0.07382270833333332,-0.051946388888888806,-0.11099833333333337,2.1659305555555566,2.134590277777775,0.9640486111111102,-0.7425902777777793,1.8330694444444442,-0.5520277777777778,-3.377006944444444,0.0023124999999950546,21.413888888888863,-22.300138888888867,5.317979166666666
6,2021/3/13,IND,PHO,W 122-111,0,3,-4,0.05600000000000005,2,-1,0.041999999999999926,1,-3,0.07699999999999996,4,4,0.04500000000000004,11,-3,4,-0.05600000000000005,-2,1,-0.041999999999999926,-1,3,-0.07699999999999996,-4,-4,-0.04500000000000004,-11,1.0851388888888902,0.5879861111111104,0.08810847222222218,0.4418749999999998,0.00993055555555511,0.1464688194444444,0.769652777777778,0.7425694444444442,0.15185868055555568,0.0031944444444447218,1.8638888888888885,1.867083333333336,0.024791666666666767,0.13743055555555506,0.32729166666666665,-0.047083333333333144,0.49312500000000026,3.381805555555557,11.819097222222222,0.07895694444444434,0.09715125000000002,-0.023925000000000085,-0.07450006944444443,0.2705347222222212,0.26292361111111084,1.171451388888885,-1.5961180555555572,0.018548611111110835,0.649861111111111,0.7634791666666612,-0.015013888888891103,14.330069444444433,-11.25590277777772,2.5656527777777764
7,2021/3/13,MIL,WAS,W 125-119,0,0,5,-0.02300000000000002,-1,1,-0.02799999999999997,1,4,-0.012000000000000066,5,3,0.10699999999999998,6,0,-5,0.02300000000000002,1,-1,0.02799999999999997,-1,-4,0.012000000000000066,-5,-3,-0.10699999999999998,-6,-1.0615277777777763,-1.4970833333333342,0.03514361111111103,-0.25347222222222165,-0.640625,0.021637291666666614,0.7044444444444449,0.32243055555555467,-0.11694326388888898,0.9679861111111111,0.41201388888889134,1.379999999999999,0.7485416666666684,-0.03923611111111103,0.1423611111111111,0.3886805555555555,-0.09923611111111086,-1.6720833333333314,6.26951388888889,-0.0032855555555555416,0.049092222222222315,0.045320972222222256,-0.002639027777777747,3.0129027777777777,3.020312500000003,3.2605000000000004,2.9239027777777835,-0.0022499999999998632,0.3968055555555554,3.465222222222218,0.024020833333334934,1.6601388888888948,-6.229374999999962,1.2884652777777785
8,2021/3/12,CHI,MIA,L 90-101,0,-3,11,-0.08899999999999997,-6,8,-0.19800000000000006,3,3,0.052000000000000046,-8,-13,0.25,-11,3,-11,0.08899999999999997,6,-8,0.19800000000000006,-3,-3,-0.052000000000000046,8,13,-0.25,11,-0.16916666666666558,1.0459027777777798,-0.11870541666666667,0.5109722222222222,0.4609027777777781,0.13163673611111112,-1.0527777777777776,-1.6564583333333336,0.09274840277777785,1.131319444444444,-0.59673611111111,0.5345833333333339,-0.37631944444444443,-0.825138888888889,-0.1539583333333333,0.6859722222222224,0.23909722222222207,-0.8801388888888884,-12.739930555555555,-0.11357590277777768,-0.11040881944444436,-0.05721631944444444,-0.10365611111111109,4.097270833333333,4.104763888888888,1.974694444444447,-0.17275694444444056,-1.2224444444444447,-0.8817013888888889,5.3778888888888865,-0.02720138888889778,-14.651388888888917,10.979513888888889,-2.6614166666666668
9,2021/3/12,IND,LAL,L 100-105,0,3,12,-0.027000000000000024,2,-2,0.05799999999999994,1,14,-0.096,-12,-18,0.08799999999999997,-5,-3,-12,0.027000000000000024,-2,2,-0.05799999999999994,-1,-14,0.096,12,18,-0.08799999999999997,5,0.5227083333333313,1.3677777777777766,-0.10449034722222217,0.19861111111111118,1.7465277777777786,-0.03804493055555555,-1.2761111111111116,-2.0782638888888885,-0.1772656944444443,0.31013888888888863,0.048680555555554506,0.35881944444444436,0.31229166666666686,-0.5237500000000003,-0.14680555555555552,0.00590277777777759,0.7512499999999998,-0.0320833333333308,-3.0288194444444443,-0.10162909722222224,-0.11700527777777775,0.138563263888889,-0.22552166666666673,1.1703680555555565,1.1708611111111065,-0.012500000000001066,2.0743750000000016,-0.6079861111111104,-0.44727777777777766,-1.061666666666662,0.009291666666666032,-15.372708333333364,5.360277777777796,-1.150826388888889
